Age,Gender,Occupation,Income,Location,Consumption frequency,Protein Source,Buying behaviour,is_RTC_customer,RTC_customer_frequency,protein_concious,protein_products_awareness,Nutritional value,Shelf-life,Price,Packaging design,Brand trust,Convenience,Concerns,WTP,Channels,Channel_selection_driver,RTC_current_satisfaction_score,challenges,information_sources,digital_rec_preference,interest,packet_size_preference,gym_frequency,preservative_sensitivity,shelf_life_preference
25–34,Male,Student,Prefer not to say,Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Make it fresh at home,No,Never,I don’t pay attention to protein intake,"Protein bars, Protein shakes",Very Important,Very Important,Very Important,Less Important,Somewhat Important,Somewhat Important,Skepticism about nutritional claims,Below ₹40,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Product quality, Speed of delivery",3,"Inconsistent quality, Limited availability, Lack of variety, Unclear nutritional information","Social media, TV or radio commercials",3,Yes,Pack of 4 rotis,2-3 times a week,5.0,No
18–24,Female,Working professional,Prefer not to say,Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Make it fresh at home,Yes,Sometimes,I assume my diet provides enough protein,"Protein bars, Protein shakes, High-protein cereals/snacks",Somewhat Important,Very Important,Somewhat Important,Not important,Neutral,Very Important,"Shelf Life & Preservatives, Availability",₹60-₹80,"Local Store, Supermarkets","Convenience, Speed of delivery, Variety of products",4,"Inconsistent quality, Unclear nutritional information","Social media, TV or radio commercials, In-store promotions, Word of mouth, Online reviews",5,Yes,Pack of 4 rotis,4-6 times a week,3.0,Maybe
18–24,Male,Working professional,"25,000-50,000",Semi-urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry","Make it fresh at home, Buy ready-to-cook packaged rotis",Yes,Often,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Neutral,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,"Price, Taste & Texture, Shelf Life & Preservatives",₹40-₹60,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Speed of delivery",4,Inconsistent quality,"Social media, In-store promotions, Online reviews",3,Maybe,Pack of 4 rotis,Daily,3.0,No
25–34,Male,Student,"More than 1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry, Protein Bars/Supplements","Buy ready-to-cook packaged rotis, Buy ready-to-eat packaged rotis, Buy from a restaurant",Yes,Often,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein cereals/snacks",Neutral,Less Important,Somewhat Important,Not important,Very Important,Very Important,"Price, Taste & Texture, Skepticism about nutritional claims",₹60-₹80,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",2,"Inconsistent quality, Limited availability, Unclear nutritional information","Social media, In-store promotions, Word of mouth, Online reviews",3,Yes,Pack of 4 rotis,4-6 times a week,3.0,Maybe
18–24,Male,Working professional,"50,000-1,00,000",Semi-urban,Once a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry, Millets - Ragi",Make it fresh at home,No,Rarely,I don’t pay attention to protein intake,"Protein bars, Protein shakes, High-protein bread/atta",Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,"Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims, Freshness",₹40-₹60,"Local Store, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",2,"Short shelf-life, Inconsistent quality, High price, Lack of variety, Unclear nutritional information","Social media, Word of mouth",1,Yes,Pack of 4 rotis,2-3 times a week,4.0,Maybe
18–24,Female,Working professional,Prefer not to say,Rural,Daily,Lentils & Pulses,Make it fresh at home,Yes,Rarely,I try to include protein-rich foods but don’t track it,"Protein bars, High-protein bread/atta, High-protein cereals/snacks",Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,"Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price",2,"Short shelf-life, Inconsistent quality, High price, Lack of variety",Online reviews,1,Yes,Pack of 4 rotis,2-3 times a week,4.0,Yes
50+,Male,Retired public sector engineer,"More than 1,00,000",Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Make it fresh at home,Yes,Sometimes,I assume my diet provides enough protein,None of the above,Neutral,Less Important,Less Important,Neutral,Very Important,Neutral,Taste & Texture,Below ₹40,"Local Store, Supermarkets","Convenience, Trust in the vendor",5,"Inconsistent quality, High price","Social media, TV or radio commercials",1,No,Pack of 4 rotis,Daily,5.0,Yes
18–24,Male,Working professional,"50,000-1,00,000",Rural,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein shakes, High-protein bread/atta",Somewhat Important,Somewhat Important,Somewhat Important,Not important,Very Important,Somewhat Important,Skepticism about nutritional claims,₹60-₹80,Supermarkets,"Convenience, Trust in the vendor",3,"Short shelf-life, Unclear nutritional information","Social media, Word of mouth",4,Yes,Pack of 4 rotis,Never,2.0,Maybe
18–24,Female,Student,Prefer not to say,Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses","Make it fresh at home, Buy from a restaurant",Yes,Rarely,I assume my diet provides enough protein,"Protein bars, Protein shakes, High-protein cereals/snacks",Neutral,Very Important,Very Important,Very Important,Very Important,Very Important,"Taste & Texture, Shelf Life & Preservatives",₹80-₹100,"Local Store, Supermarkets","Convenience, Product quality, Trust in the vendor",3,"Short shelf-life, Inconsistent quality, Lack of variety","Social media, In-store promotions, Word of mouth",4,Yes,Pack of 4 rotis,Daily,5.0,Yes
25–34,Male,Working professional,"More than 1,00,000",Urban,Once a week,"Eggs, Meat & Poultry, Protein Bars/Supplements",Make it fresh at home,Yes,Rarely,I carefully track my protein intake,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Very Important,Somewhat Important,Very Important,Less Important,Very Important,Somewhat Important,"Price, Taste & Texture, Skepticism about nutritional claims",₹40-₹60,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",2,"Inconsistent quality, High price",Social media,4,Yes,Pack of 4 rotis,2-3 times a week,5.0,Maybe
